8ded 72eb cc4c b9b3 c94b 3308 796b 7863
fb9d fd83 fa54 6861 9012 37d9 bcd1 52e6
6370 6069 fe4c 3b91 34cd 216b b564 68c1
ccad fde2 ac8c d483 df09 6e99 51de 2c8a
0e05 6533 e53b 21b4 ac2a 8a56 b062 1fb1
2d3b 972e bb20 9006 5f02 9d37 e102 40ee
433b e237 1b16 c811 cbdf f33e a1c1 fcc9
59b2 b450 b2d0 78c9 5831 b6a7 5e72 ad3e
04ca c68a 3513 2e23 7b0e 9759 c2b7 a32a
5668 2729 266c 3cb1 3f6a d757 eee0 a9a4
4854 b382 7f7f ce63 b92c 020f 2704 8e57
a1d1 46de 54a7 6c2d 2f3a f549 0021 4129
dac1 1248 a01d 63e0 cf85 6b3d ee1f 33ca
a657 707b 7b39 cacb 0e14 a6a6 df26 3a8f
14be 90b4 abfb 041b c43b 816a 0940 081e
1115 687c 2aa5 0c81 0fc9 fe42 f108 3d30
693c ba32 e5aa 557c 154d 04c7 f3c6 6cc0
5812 a7ca 82a9 6db1 e180 154f 1f86 e003
50fe 6db0 d090 48f5 8831 6af6 8fb3 e837
65de ea67 f0db cedc f37b fc36 051f e54a
8684 c201 3a0a e4b7 123e ce4b 0259 d8ec
e37e da7d ec82 6521 47db de5b 0d2f 27c3
7cd2 94e6 0577 7735 7735 eec5 c9af 690c
1bce 27a8 719f a7a3 871e ce8f 90a0 8b9d
31f2 ce7c 0eff 6944 64e8 85e1 b9e7 b8cd
ddb1 8020 ef6c 72c2 8318 2506 a1d3 bec1
98d3 151b b11f a444 3967 3609 a7a0 235d
2a90 aad6 8998 b951 7d32 757c ec67 82ee
4cc1 f089 1dec 9474 4e3c 61d0 2535 863b
f85b c82c 91a9 415a f540 2271 3204 dafc
65c7 24a5 a106 4752 8791 807b 18ec 8874
8b73 8a07 8de5 4e71 8f47 8ef7 82c9 e963
