5664 b382 75f7 07bb 877c 72cf c7e4 e0e7
edc9 cee1 6811 65e8 d9df 6b3e c05d 20ef
ce7a 6489 da16 1b33 a984 0aa4 2052 d457
6aea c5f9 288d 05b7 6f53 ae48 5112 a486
783b ffab 639a 47bd 6fca 48b4 76a8 4ee2
7047 45b2 5bb8 4aa5 8a0a d161 2434 e02e
7281 8237 2ccc 4060 eb52 ab9b 45a3 47c7
18e3 7874 2ba6 55d4 e495 b520 c360 72da
40fc 971c 9a99 e720 6997 2c59 23e9 bd49
5f91 773c 38f2 eae1 a326 456d a013 aab4
b66e 6b10 78e8 5360 116c 5419 2899 4e60
82d9 c6d0 1b83 2d7a c2c9 139f 03ca 48a4
7420 0529 e91f eccb 861f 7278 fc34 7d1c
375e a36e c958 7299 77fe 7293 434c 16e5
12bd 67ab bb7b f01d 68ca a26d 006e 17e3
f4a1 6fd8 3590 954f 508c 313a c4aa 1325
51d8 b1c2 40c3 5eac f622 4654 0ffa 2c73
492e 7939 6cd5 acba eae0 e366 e9b4 3296
4924 6428 640d 2c0a df3e 442f 4a2c 8609
4c23 d703 91de f975 a870 35f4 3855 72b3
9421 faf1 88f4 bc6e 63c3 2ccb 08c0 727e
7c02 1759 ddab a5be 301d 1ea6 f152 2572
d6e5 3ad7 7292 9e37 20de 2b42 8aa8 2dc0
81e5 8ff0 c67e 2012 ef4b 566f 8277 e700
72fb 263d 69d3 72d5 3d3c f522 846f 8560
38ba db84 4f6f d077 9996 5abd 98e3 f20c
ed93 588d c720 4094 ef1e 19f1 30b3 879b
c948 72c8 6544 f1a4 267b 996d 93cc 0403
7c5f f557 c407 01f8 f445 6146 fa2b af0c
2d58 5433 511b b694 b43c bd5a 6c19 7702
2442 a6d0 2611 388a e889 ff9c e104 ca6c
4c16 429d ee8a c5ad 210a 7259 a136 7b50
